s,p,o
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64612,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C89010
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C133615,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C133614
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C133616,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C133614
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C148129,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9265
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3366,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9265
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3246,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9265
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C39644,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9265
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C141346,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9265
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C115439,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9265
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C141142,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9265
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C189978,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C179460
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C189977,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C179460
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5004,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5005
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5000,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5005
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5001,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5005
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5002,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5005
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4999,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5005
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5003,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5005
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C134854,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C134853
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C134855,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C134853
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C158587,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C164160
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C158588,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C164160
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C140518,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C140516
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C140517,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C140516
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C189420,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C189306
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C107176,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C173351
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C107175,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C173351
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C107177,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C173351
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C107178,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C173351
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C74606,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C174314
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C181399,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C174314
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C184349,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C174314
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C184348,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C174314
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C184347,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C174314
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C184345,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C174314
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C181187,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C174314
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C184346,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C174314
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C181262,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C174314
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C189344,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C189342
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C189343,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C189342
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C165784,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C165789
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27314,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26896
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5496,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C172682
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3495,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C172682
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7041,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C172682
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C39999,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C39997
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C39998,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C39997
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C128055,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9311
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C40236,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9311
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C40228,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9311
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5052,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9311
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3554,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9311
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9039,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9311
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6385,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9311
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C40239,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9311
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C128054,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9311
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3553,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9311
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9085,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C87544
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9082,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C87544
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C101541,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C87544
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C101542,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C87544
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C157769,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C39829
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C140662,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C140661
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C140663,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C140661
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C151993,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C156269
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C155743,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C156269
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C8078,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C8102
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9252,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C8102
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C8464,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C8102
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5974,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6791
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C153800,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6791
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5937,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6791
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5938,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6791
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5946,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6791
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5942,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6791
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5941,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6791
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C90019,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C89998
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C87820,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C89998
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C90016,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C89998
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C87819,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C89998
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C89999,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C89998
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4019,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C47858
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C172312,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C8858
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C172314,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C8858
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C172309,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C8858
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C179466,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3559
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C36231,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C137694
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C36210,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C137694
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35355,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35232
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35356,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35232
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5897,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C132778
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5895,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C132778
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5898,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C132778
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5896,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C132778
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C114970,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C40315
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C156038,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C40315
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C34475,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35173
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35217,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35173
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C8544,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3558
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C192120,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3558
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C137654,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C137651
