s,p,o
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64734,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64728
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64738,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64728
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64733,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64728
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64737,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64728
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64740,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64728
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64736,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64728
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64739,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64728
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64735,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64728
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C157504,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C98985
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C176303,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C176238
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C176302,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C176238
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C176304,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C176238
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C176298,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C176238
