s,p,o
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C184406,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C184363
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C150457,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C136648
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C190646,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C136648
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C156670,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C136648
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C158693,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C136648
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C137694,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C136648
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C36214,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C136648
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41399,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C150454
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C95176,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6308
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C95174,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6308
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C36210,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41401
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C142113,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C143153
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41398,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C143153
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C139811,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C139809
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C139810,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C139809
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C150452,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C36213
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C150461,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C36213
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C36232,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C36213
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C146662,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C36213
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C184405,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C184362
