s,p,o
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C132462,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13356
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C132461,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13356
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C114999,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C114998
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C91412,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C39732
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38821,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C39732
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38813,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C39732
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38791,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C39732
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38819,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C39732
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38795,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C39732
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38822,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C39732
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C91414,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C39732
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38984,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C39732
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38812,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C39732
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38830,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C39732
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38841,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C39732
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38831,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C39732
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C90526,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16330
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C176037,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16330
