s,p,o
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20633,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.w3.org/2002/07/owl#Thing
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20189,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.w3.org/2002/07/owl#Thing
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12219,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.w3.org/2002/07/owl#Thing
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12913,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.w3.org/2002/07/owl#Thing
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C22188,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.w3.org/2002/07/owl#Thing
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12218,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.w3.org/2002/07/owl#Thing
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C97325,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.w3.org/2002/07/owl#Thing
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20181,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.w3.org/2002/07/owl#Thing
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14250,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.w3.org/2002/07/owl#Thing
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7057,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.w3.org/2002/07/owl#Thing
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C1908,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.w3.org/2002/07/owl#Thing
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20047,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.w3.org/2002/07/owl#Thing
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C22187,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.w3.org/2002/07/owl#Thing
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3910,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.w3.org/2002/07/owl#Thing
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26548,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.w3.org/2002/07/owl#Thing
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16612,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.w3.org/2002/07/owl#Thing
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43431,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.w3.org/2002/07/owl#Thing
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28428,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.w3.org/2002/07/owl#Thing
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17828,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.w3.org/2002/07/owl#Thing
