,IRI
92,http://www.co-ode.org/ontologies/pizza/pizza.owl#Rosa
93,http://www.co-ode.org/ontologies/pizza/pizza.owl#OnionTopping
94,http://www.co-ode.org/ontologies/pizza/pizza.owl#PineKernels
95,http://www.co-ode.org/ontologies/pizza/pizza.owl#hasSpiciness
96,http://www.co-ode.org/ontologies/pizza/pizza.owl#FourCheesesTopping
97,http://www.co-ode.org/ontologies/pizza/pizza.owl#HotGreenPepperTopping
98,http://www.co-ode.org/ontologies/pizza/pizza.owl#PeperoniSausageTopping
99,http://www.co-ode.org/ontologies/pizza/2.0.0
100,http://www.co-ode.org/ontologies/pizza/pizza.owl#Giardiniera
101,http://www.w3.org/2002/07/owl#Class
102,http://www.co-ode.org/ontologies/pizza/pizza.owl#CheeseTopping
103,http://www.co-ode.org/ontologies/pizza/pizza.owl#NutTopping
104,http://www.co-ode.org/ontologies/pizza/pizza.owl#TobascoPepperSauce
105,http://www.co-ode.org/ontologies/pizza/pizza.owl#FourSeasons
106,http://www.co-ode.org/ontologies/pizza/pizza.owl#GreenPepperTopping
107,http://www.co-ode.org/ontologies/pizza/pizza.owl#SundriedTomatoTopping
108,http://www.co-ode.org/ontologies/pizza/pizza.owl#RealItalianPizza
109,http://www.co-ode.org/ontologies/pizza/pizza.owl#Cajun
110,http://purl.org/dc/terms/contributor
111,http://www.co-ode.org/ontologies/pizza/pizza.owl#GarlicTopping
112,http://www.co-ode.org/ontologies/pizza/pizza.owl#isIngredientOf
113,http://www.co-ode.org/ontologies/pizza/pizza.owl#MushroomTopping
114,http://www.co-ode.org/ontologies/pizza/pizza.owl#PrawnsTopping
115,http://www.co-ode.org/ontologies/pizza/pizza.owl#MixedSeafoodTopping
116,http://www.w3.org/2002/07/owl#ObjectProperty
117,http://www.co-ode.org/ontologies/pizza/pizza.owl#JalapenoPepperTopping
118,http://www.co-ode.org/ontologies/pizza/pizza.owl#CajunSpiceTopping
119,http://www.co-ode.org/ontologies/pizza/pizza.owl#OliveTopping
120,http://www.co-ode.org/ontologies/pizza/pizza.owl#ChickenTopping
121,http://www.co-ode.org/ontologies/pizza/pizza.owl#SweetPepperTopping
122,http://www.co-ode.org/ontologies/pizza/pizza.owl#VegetarianTopping
123,http://www.co-ode.org/ontologies/pizza/pizza.owl#ParmaHamTopping
124,http://www.w3.org/2002/07/owl#InverseFunctionalProperty
125,http://www.co-ode.org/ontologies/pizza/pizza.owl#England
126,http://www.co-ode.org/ontologies/pizza/pizza.owl#Medium
127,http://www.co-ode.org/ontologies/pizza/pizza.owl#VegetarianPizza
128,http://www.co-ode.org/ontologies/pizza/pizza.owl#Margherita
129,http://www.co-ode.org/ontologies/pizza/pizza.owl#hasCountryOfOrigin
130,http://www.co-ode.org/ontologies/pizza/pizza.owl#SauceTopping
131,http://www.co-ode.org/ontologies/pizza/pizza.owl#NonVegetarianPizza
