p,s,o
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94766,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20744
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C21174,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20744
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C24316,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20744
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C190132,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20744
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C114523,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20744
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C106352,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20744
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C114896,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20744
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C127022,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20744
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C104702,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20744
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C97247,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20744
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C21185,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20744
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20745,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20744
