p,s,o
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C36216,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41397
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41401,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41397
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C160963,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41397
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C143153,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41397
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C147056,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41397
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C24062,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C24059
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C24095,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C24094
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C139813,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C139812
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C139814,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C139812
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6301,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C89633
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6302,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C89633
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6304,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9208
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6305,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9208
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C24062,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C24061
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C153120,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41241
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41176,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41241
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C150454,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41241
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41402,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41241
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14774,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14773
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C187749,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C184413
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C36213,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C150458
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C184363,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C184361
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C184362,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C184361
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C167065,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C142112
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C136648,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C142112
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C154095,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C142112
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C170399,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C142112
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6308,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C89635
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6306,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C89635
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6307,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C89635
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6310,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C89636
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6309,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C89636
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C130951,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C88151
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C139807,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C139806
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C139809,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C139806
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C139808,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C139806
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C130237,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C88152
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C139804,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C139802
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C139803,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C139802
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6303,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9207
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C192096,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7325
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C137706,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C137695
