p,s,o
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26549,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26548
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C813,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26548
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28566,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26548
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17021,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26548
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C111298,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26548
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28454,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26548
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C21176,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26548
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C77623,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C22188
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C88024,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C22188
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C77662,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C22188
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C52950,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C22188
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C77665,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C22188
