p,s,o
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4107,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3780
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35735,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3780
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4450,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3780
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3878,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3780
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6875,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3780
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3779,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3780
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28195,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26759
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C171980,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26759
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C111911,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26759
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C50455,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26759
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C111861,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26759
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C111782,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26759
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C50713,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26759
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C114722,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26759
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C173956,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16745
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C70692,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16745
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C157356,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16745
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C134464,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C134457
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C134459,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C134457
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C67460,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C65184
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C67455,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C65184
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C67459,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C65184
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C67457,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C65184
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C134667,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C134660
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C134675,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C134660
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C134663,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C134660
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C134672,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C134660
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C134665,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C134660
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61161,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61159
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61160,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61159
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61162,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61159
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C141081,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C141080
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C145524,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C146679
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C144322,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C146679
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C144902,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C146679
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C136751,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C136750
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C55957,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C55990
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C55935,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C55990
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C55980,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C55990
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4192,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5197
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C40363,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5197
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C160912,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4049
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C124293,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4049
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C160913,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4049
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C8269,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4049
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C146242,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C143341
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C144558,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C143341
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C145174,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C143341
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C145774,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C143341
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C144013,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C143341
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38073,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94905
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C144938,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C143778
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C118870,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C118868
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C118869,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C118868
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C118742,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C118868
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C55670,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C55668
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C55669,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C55668
