p,s,o
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6667,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5655
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6695,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5655
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6666,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5655
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C165701,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C150212
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C150210,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C150212
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C186634,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C186632
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C186633,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C186632
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C24022,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C24120
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C189422,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C189308
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C8170,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C8394
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6213,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C8394
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6214,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C8394
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C186088,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C74795
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C140369,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C140367
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C140368,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C140367
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6057,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C115061
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27790,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C89194
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6127,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6122
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C174229,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C74779
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C133660,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C133659
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C133662,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C133659
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C140423,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C140421
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C140422,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C140421
