p,s,o
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C125952,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C111281
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66928,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C50479
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C99920,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C50479
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C99522,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C50479
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C191461,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C50479
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C67106,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C50479
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C141268,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C50479
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C99530,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C50479
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C100033,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C50479
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84428,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3196
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7103,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3196
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C53550,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3196
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35442,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3196
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C166123,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C166117
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C166125,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C166117
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C93338,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C93337
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C67287,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C112516
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C170542,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C112516
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C79697,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C99208
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C187360,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C99208
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C87145,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C99208
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C50510,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C99208
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C161558,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C99208
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26728,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C99208
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C118763,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C99208
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C174499,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C99208
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C188955,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C99208
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C50639,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C99208
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C50516,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C99208
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C50788,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C99208
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C186226,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C99208
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84395,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C99208
